City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,aranda de duero,41.6704,-3.6892,10.38,57,11,5.35,ES,1711325368
239,san luis de la loma,17.2706,-100.8939,30.28,34,28,2.55,MX,1711325554
240,lerwick,60.1545,-1.1494,4.0,65,88,4.42,GB,1711325554
241,ambovombe,-25.1667,46.0833,22.37,74,68,9.33,MG,1711325554
242,princeville,45.7668,-61.2985,-0.27,77,100,3.58,CA,1711325556
243,mckenzie,47.7084,-103.4477,-6.21,100,100,5.66,US,1711325557
244,kwang binh,17.4833,106.6,24.92,83,3,0.39,VN,1711325557
245,glazov,58.1394,52.6584,0.17,94,100,2.37,RU,1711325559
246,guerrero negro,27.9769,-114.0611,16.18,63,3,11.58,MX,1711325560
247,fale old settlement,-9.3852,-171.2468,29.4,73,5,5.03,TK,1711325560
248,barbacoas,1.6715,-78.1398,24.9,94,94,1.32,CO,1711325561
249,glace bay,46.1969,-59.957,-0.58,79,100,4.47,CA,1711325562
250,sokol,59.4617,40.1206,1.38,98,100,4.02,RU,1711325562
251,colonia,50.9333,6.95,6.13,82,75,6.17,DE,1711325462
252,montrose,38.4166,-108.2673,-3.28,91,100,4.43,US,1711325511
253,sinfra,6.6167,-5.9167,25.61,82,83,0.92,CI,1711325563
254,minas de marcona,-15.2119,-75.1103,22.7,66,80,1.06,PE,1711325564
255,ulsan,35.5372,129.3167,10.66,83,100,4.78,KR,1711325474
256,lupane,-18.9315,27.807,17.38,84,31,3.37,ZW,1711325565
257,amlagora,22.8333,87.3333,23.69,77,86,1.93,IN,1711325565
258,arar,30.9753,41.0381,9.01,87,40,5.66,SA,1711325566
259,nouadhibou,20.931,-17.0347,18.99,88,0,1.03,MR,1711325566
260,codrington,-38.2667,141.9667,17.65,67,100,5.39,AU,1711325566
261,borogontsy,62.6683,131.1683,-14.47,86,85,4.39,RU,1711325540
262,tuy hoa,13.0833,109.3,24.79,86,74,1.43,VN,1711325567
263,washington,47.5001,-120.5015,15.32,29,10,3.62,US,1711325320
264,fortaleza,-3.7227,-38.5247,26.99,84,76,3.89,BR,1711325420
265,nikolayevsk-on-amure,53.1406,140.73,-5.54,86,100,4.6,RU,1711325570
266,flying fish cove,-10.4217,105.6791,26.82,89,75,3.6,CX,1711325457
267,zapata,26.9073,-99.2714,29.06,48,0,6.17,US,1711325437
268,brisas de zicatela,15.8369,-97.0419,27.29,83,0,2.57,MX,1711325571
269,bria,6.5423,21.9863,26.88,51,85,0.86,CF,1711325573
270,archidona,37.0965,-4.3887,11.34,94,99,1.63,ES,1711325573
271,vorgashor,67.5833,63.95,-32.43,100,25,0.23,RU,1711325574
272,weno,7.4515,151.8468,28.64,76,85,8.39,FM,1711325574
273,murghob,38.1702,73.9667,-16.75,92,22,3.5,TJ,1711325574
274,tromso,69.6496,18.957,-2.99,80,75,1.54,NO,1711325575
275,sumbawa besar,-8.5,117.4333,26.24,83,91,0.83,ID,1711325576
276,onega,63.9061,38.1404,-8.52,93,96,3.83,RU,1711325576
277,plastun,44.7561,136.2939,1.97,30,36,3.54,RU,1711325576
278,lautoka,-17.6167,177.4667,29.92,79,40,4.12,FJ,1711325577
279,lae,-6.7221,146.9847,30.93,62,10,0.3,PG,1711325577
280,bayanhongor,46.7167,100.1167,-14.16,79,97,1.19,MN,1711325579
281,anaconda,46.1285,-112.9423,-2.45,87,99,1.86,US,1711325455
282,gadzhiyevo,69.2551,33.3362,-10.81,77,100,4.13,RU,1711325579
283,kalianget,-7.05,113.9333,27.09,80,99,1.15,ID,1711325580
284,conception bay south,47.4999,-52.9981,9.4,94,100,12.17,CA,1711325580
285,toamasina,-18.1667,49.3833,24.66,89,100,4.45,MG,1711325580
286,alofi,-19.0595,-169.9187,30.94,74,75,2.57,NU,1711325580
287,kavieng,-2.5744,150.7967,29.95,69,64,3.75,PG,1711325580
288,ola,59.5833,151.2833,-7.62,80,96,3.65,RU,1711325581
289,kanniyakumari,8.0833,77.5667,24.8,78,13,3.49,IN,1711325581
290,saint-joseph,-21.3667,55.6167,25.61,82,99,9.17,RE,1711325519
291,portland,45.5234,-122.6762,13.24,87,100,3.6,US,1711325417
292,zelenoborskiy,66.845,32.3622,-15.66,92,98,3.49,RU,1711325582
293,puerto baquerizo moreno,-0.9,-89.6,27.22,77,65,0.39,EC,1711325408
294,gisborne,-38.6533,178.0042,21.71,43,42,0.56,NZ,1711325518
295,dudinka,69.4058,86.1778,-35.74,99,20,1.79,RU,1711325337
296,san miguel,13.4833,-88.1833,30.17,63,69,2.57,SV,1711325585
297,taroa,8.7058,171.2275,27.42,79,10,9.48,MH,1711325586
298,jumla,29.2747,82.1838,6.16,80,78,0.52,NP,1711325586
299,lompoc,34.6391,-120.4579,15.33,63,100,9.26,US,1711325480
300,zagora,30.3484,-5.8365,15.63,35,2,2.69,MA,1711325587
301,kismayo,-0.3582,42.5454,28.22,77,65,4.99,SO,1711325423
302,corn island,12.1694,-83.0418,27.58,78,15,5.64,NI,1711325587
303,carnarvon,-24.8667,113.6333,24.91,40,0,5.94,AU,1711325587
304,lata,40.1629,-8.3327,14.9,67,100,1.32,PT,1711325588
305,angaur state,6.906,134.13,28.08,82,100,5.37,PW,1711325588
306,arrifes,37.7667,-25.7,14.14,77,75,6.69,PT,1711325588
307,taoudenni,22.6783,-3.9836,29.38,29,91,8.04,ML,1711325588
308,rovnoye,50.7765,46.0509,1.63,88,36,2.51,RU,1711325589
309,santa ana de yacuma,-13.75,-65.4333,25.74,81,85,1.29,BO,1711325590
310,mananjary,-21.2167,48.3333,22.45,97,100,2.35,MG,1711325591
311,bilajer,40.5681,50.0378,6.9,87,100,5.14,AZ,1711325591
312,bukama,-9.2,25.85,20.31,97,92,0.15,CD,1711325591
313,dryden,49.7833,-92.7503,-4.84,58,100,3.02,CA,1711325383
314,sao felipe,-14.8167,-41.3833,23.09,62,93,2.51,BR,1711325592
315,valle de la pascua,9.2155,-66.0073,32.59,32,100,1.94,VE,1711325593
316,piacabucu,-10.4056,-36.4344,26.44,80,17,3.28,BR,1711325593
317,hammamet,36.4,10.6167,16.92,60,60,3.19,TN,1711325594
318,sanchursk,56.9413,47.2499,2.88,98,100,6.05,RU,1711325594
319,mashhad,36.297,59.6062,17.08,55,40,3.09,IR,1711325594
320,telc,49.1842,15.4528,3.66,95,92,7.55,CZ,1711325595
321,malangali,-8.5667,34.85,16.35,97,100,2.46,TZ,1711325595
322,cedeira,43.6797,-8.0209,11.65,74,90,5.52,ES,1711325595
323,tarakan,3.3,117.6333,26.72,94,20,3.09,ID,1711325595
324,geraldton,-28.7667,114.6,21.23,35,0,6.17,AU,1711325597
325,arno,60.1167,18.6333,-1.23,79,100,3.04,SE,1711325597
326,yuzhno-kurilsk,44.0306,145.8556,-0.35,96,41,7.94,RU,1711325597
327,ebon,4.582,168.6964,27.63,79,37,4.49,MH,1711325597
328,ikryanoye,46.0932,47.7308,4.99,79,51,2.14,RU,1711325598
329,puerto deseado,-47.7503,-65.8938,14.23,70,47,4.89,AR,1711325598
330,formosa do rio preto,-11.0483,-45.1931,26.66,54,72,1.49,BR,1711325598
331,machico,32.7,-16.7667,19.35,68,40,8.75,PT,1711325599
332,khandyga,62.6667,135.6,-14.64,94,88,0.19,RU,1711325601
333,fuling,29.7022,107.3919,15.7,76,100,4.41,CN,1711325531
334,kaa-khem,51.6833,94.7333,-15.33,92,60,1.65,RU,1711325601
335,ishigaki,24.3448,124.1572,23.66,88,32,8.55,JP,1711325603
336,kenora,49.8167,-94.4337,-2.9,30,100,4.02,CA,1711325603
337,daman,20.4167,72.85,26.16,73,1,0.45,IN,1711325603
338,luino,46.0019,8.7451,8.62,56,0,2.06,IT,1711325604
339,wamba,8.9333,8.6,27.63,15,33,2.24,NG,1711325604
340,wucheng,29.6008,118.175,22.09,90,50,1.23,CN,1711325605
341,sarangani,5.4033,125.4636,27.59,77,100,7.63,PH,1711325605
342,miramichi,47.0043,-65.4654,-10.19,93,47,1.65,CA,1711325308
343,kolwezi,-10.7148,25.4667,14.9,96,64,2.1,CD,1711325607
344,boda,4.3189,17.4695,24.9,62,80,1.69,CF,1711325607
345,kovdor,67.5662,30.4758,-18.15,99,99,0.63,RU,1711325610
346,moranbah,-22.0016,148.0466,27.89,61,99,5.46,AU,1711325610
347,ntungamo,-0.8833,29.65,19.14,83,100,0.26,UG,1711325610
348,labrador city,52.9463,-66.9114,-20.94,92,48,1.98,CA,1711325401
349,ta`u,-14.2336,-169.5144,29.61,67,17,3.4,AS,1711325611
350,tralee,52.2704,-9.7026,9.22,95,100,4.75,IE,1711325611
351,lhokseumawe,5.1801,97.1507,26.41,83,71,1.61,ID,1711325612
352,manokwari,-0.8667,134.0833,28.48,71,57,1.31,ID,1711325614
353,brak,27.5496,14.2714,14.62,31,16,1.63,LY,1711325361
354,happy valley-goose bay,53.3168,-60.3315,-8.83,73,75,9.77,CA,1711325614
355,tura,25.5198,90.2201,18.46,69,79,1.63,IN,1711325615
356,quellon,-43.1167,-73.6167,12.48,96,100,0.29,CL,1711325616
357,hastings,50.8552,0.5729,7.66,82,29,1.44,GB,1711325616
358,barclayville,4.6797,-8.2339,26.28,90,100,1.73,LR,1711325617
359,kailua-kona,19.6406,-155.9956,27.98,67,20,4.63,US,1711325535
360,priozersk,61.0393,30.1291,2.83,83,97,1.17,RU,1711325618
361,hamilton,39.1834,-84.5333,11.69,34,0,5.66,US,1711325618
362,naze,28.3667,129.4833,20.94,84,50,6.35,JP,1711325619
